rubro,situacion,texto
repuestos,garantia,"Hola. La garantia de [repuesto] aplica bajo condiciones informadas y con instalacion correcta."
repuestos,cierre,"Si el codigo coincide, podes avanzar con [repuesto] desde la publicacion."
libreria,stock,"Hola. Tenemos stock de [producto libreria]."
libreria,cantidad,"Hola. Para [producto libreria], indicanos cantidad si necesitas compra por mayor."
libreria,envio,"Hola. Enviamos [producto libreria] en [plazo]."
libreria,medidas,"Hola. Las medidas/formato de [producto libreria] son [dato]."
libreria,precio,"Hola. El precio de [producto libreria] es el publicado. Por cantidad, consultanos unidades."
libreria,cierre,"Si te sirve el formato, podes avanzar con la compra de [producto libreria]."
mascotas,stock,"Hola. Tenemos disponible [producto mascotas]."
mascotas,medidas,"Hola. Para [producto mascotas], revisa medidas, peso recomendado o talle antes de comprar."
mascotas,uso,"Hola. [producto mascotas] se usa segun indicaciones. Si tu mascota tiene una necesidad especial, conviene consultar."
mascotas,envio,"Hola. Despachamos [producto mascotas] en [plazo]."
mascotas,precio,"Hola. El precio de [producto mascotas] es el publicado."
mascotas,cierre,"Si las medidas o el uso te sirven, podes comprar [producto mascotas] y queda confirmado."
ferreteria,stock,"Hola. Tenemos stock de [producto ferreteria]."
ferreteria,medidas,"Hola. Para [producto ferreteria], confirma medida, rosca, voltaje o compatibilidad antes de comprar."
ferreteria,uso,"Hola. [producto ferreteria] sirve para [uso]. Si es instalacion tecnica, recomendamos instalador calificado."
ferreteria,envio,"Hola. Enviamos [producto ferreteria] en [plazo]."
ferreteria,garantia,"Hola. [producto ferreteria] tiene garantia segun publicacion. No cubre instalacion incorrecta."
ferreteria,cierre,"Si la medida o compatibilidad coincide, podes avanzar con [producto ferreteria]."
alimentos-secos,stock,"Hola. Tenemos disponible [producto alimento]."
alimentos-secos,vencimiento,"Hola. La fecha de vencimiento/lote de [producto alimento] es [dato]."
alimentos-secos,envio,"Hola. Enviamos [producto alimento] bien cerrado y protegido en [plazo]."
alimentos-secos,cantidad,"Hola. Para compra por cantidad de [producto alimento], decime unidades y zona."
alimentos-secos,precio,"Hola. El precio publicado de [producto alimento] es el vigente."
alimentos-secos,cierre,"Si te sirve la fecha y presentacion, podes comprar [producto alimento] desde la publicacion."
mayorista,general,"Hola. Para cotizar por mayor, indicame producto, cantidad aproximada, zona de entrega y si necesitas factura."
mayorista,precio,"Hola. El precio mayorista depende de cantidad, stock y entrega. Pasame unidades y lo revisamos."
mayorista,stock,"Hola. Para cantidad mayorista confirmamos stock antes de tomar el pedido."
mayorista,envio,"Hola. En compras por mayor coordinamos envio segun volumen, zona y disponibilidad."
mayorista,pago,"Hola. Para compra mayorista, la reserva se confirma con pago o seña segun condiciones acordadas."
mayorista,cierre,"Si queres avanzar por mayor, enviame cantidad, zona y datos de facturacion para revisar propuesta."
